date,BAA10Y,HY_OAS_3Y,NFCI,Real_Yield,DXY,CFNAI,INDPRO_YoY,Copper_Gold,HYG,SPY,QQQ,SMH,SOXX,IGV,XLE,OIL,ADBE,CDNS,CRM,CRWD,DDOG,FTNT,INTU,MSFT,NOW,ORCL,PANW,PLTR,SNOW,SNPS,WDAY,LPPLS_R2,Score_Dynamics,Log_Trend,Valuation_Residual,Score_Valuation,Breadth_50,High_60,Price_Ratio_High,Score_Breadth,Ratio_QQQ,Score_Relative,Composite_Radar_Score,MA10,MA20,MA50,MA200,Dist_200MA,Above_MA20_Conf,Above_MA50_Conf,Below_MA50_3D,Cond_Panic,Cond_Bubble,Cond_Bear,Sell_Signal
2019-03-26,2.3,,-0.607,0.55,114.6414,-0.1,0.6545559146318158,0.0021688351220508,57.6009407043457,252.59197998046875,171.266845703125,50.49359893798828,59.19532775878906,41.66061019897461,24.014049530029297,59.93999862670898,265.5899963378906,62.29999923706055,156.68917846679688,,,16.968000411987305,242.5670166015625,110.09481811523438,49.0,47.74815368652344,40.70000076293945,,,112.4000015258789,192.63999938964844,0.7332013409040843,22.22222222222222,3.6229186548150087,10.663742802947906,68.91534391534393,0.7333333333333333,42.65210723876953,0.976753855694762,16.666666666666664,0.24324970795100276,39.48412698412698,35.09589947089947,41.62345542907715,41.16456756591797,39.698726654052734,37.88246541023254,9.973333962898684,True,True,False,False,False,False,False
2019-03-27,2.28,,-0.607,0.55,115.1243,-0.1,0.6545559146318158,0.002181845932351,57.641109466552734,251.27117919921875,170.16685485839844,49.75789260864258,58.36547088623047,41.0824089050293,23.844173431396484,59.40999984741211,262.3399963378906,61.83000183105469,152.48199462890625,,,16.365999221801758,241.98898315429688,109.03038024902344,48.27399826049805,47.32695388793945,39.90833282470703,,,112.48999786376952,189.67999267578125,0.7332013409040843,22.023809523809522,3.6235574501987236,9.202257250534673,63.227513227513235,0.6666666666666666,42.65210723876953,0.9631976369900566,18.055555555555554,0.2414242711320918,24.00793650793651,31.630291005291006,41.60815582275391,41.15105628967285,39.80188980102539,37.901255731582644,8.393265901202945,False,True,False,False,False,False,False
2019-03-28,2.27,,-0.607,0.56,115.2581,-0.1,0.6545559146318158,0.0022239881265969,57.75495910644531,252.2235870361328,170.55897521972656,49.66295623779297,58.26875305175781,41.390384674072266,23.93453788757324,59.29999923706055,263.5299987792969,62.650001525878906,152.54095458984375,,,16.469999313354492,245.62765502929688,109.17977905273438,48.66600036621094,47.66748046875,39.731666564941406,,,113.93000030517578,190.1999969482422,0.7633937077656962,23.015873015873016,3.6241962455824384,9.885235402417303,66.7989417989418,0.6666666666666666,42.65210723876953,0.9704182830256416,22.42063492063492,0.24267491417997875,30.753968253968257,34.973544973544975,41.60755958557129,41.162878799438474,39.89809844970703,37.92107008934021,9.148778176772216,False,True,False,False,False,False,False
2019-03-29,2.26,,-0.61,0.53,115.1371,-0.1,0.6545559146318158,0.002270688405815,57.902286529541016,253.8140106201172,171.85028076171875,50.469871520996094,59.1329460144043,41.88911437988281,23.89838409423828,60.13999938964844,266.489990234375,63.5099983215332,155.67672729492188,,,16.79400062561035,247.70281982421875,110.12283325195312,49.29800033569336,48.13349533081055,40.47999954223633,,,115.1500015258789,192.8500061035156,0.7633937077656962,23.214285714285715,3.624835040966153,11.019095220527486,68.78306878306879,0.7333333333333333,42.65210723876953,0.9821112505739651,19.047619047619047,0.24375354054826778,40.27777777777778,36.12433862433863,41.65484962463379,41.18970279693603,40.00479827880859,37.941463479995726,10.404582580132809,False,True,False,False,False,False,False
2019-04-01,2.24,,-0.61,0.59,114.9362,-0.51,-1.0247462328067725,0.0022667649679551,57.88809967041016,256.823974609375,174.1268310546875,51.71346664428711,60.60860443115234,42.45937347412109,24.212839126586918,61.59000015258789,272.1700134277344,64.80000305175781,158.43893432617188,,,17.04400062561035,251.8152618408203,111.13124084472656,49.14599990844727,48.91316986083984,40.23500061035156,,,117.56999969482422,192.75,0.7633937077656962,23.61111111111111,3.625473836349868,12.307386414329757,81.08465608465607,0.7333333333333333,42.65210723876953,0.9954812604317647,32.73809523809524,0.2438416481649861,38.69047619047619,42.523148148148145,41.74267387390137,41.28368625640869,40.11749870300293,37.96399386405945,11.841166201213147,True,True,False,False,False,False,False
2019-04-02,2.24,,-0.61,0.58,115.1173,-0.51,-1.0247462328067725,0.0022511628247046,57.9150505065918,256.94976806640625,174.78683471679688,51.75618362426758,60.69907760620117,42.4871826171875,24.046573638916016,62.58000183105469,271.3500061035156,64.61000061035156,157.7803192138672,,,17.125999450683594,254.1936492919922,111.28998565673828,49.36399841308594,48.527828216552734,40.03333282470703,,,117.51000213623048,193.77999877929688,0.7848521712299681,26.190476190476193,3.626112631733583,12.308981323280133,79.8941798941799,0.7333333333333333,42.65210723876953,0.9961332597083944,33.53174603174603,0.2430799933303244,29.563492063492063,41.95767195767196,41.80923652648926,41.38730583190918,40.21787986755371,37.98563158988953,11.85066784172184,True,True,False,False,False,False,False
2019-04-03,2.23,,-0.61,0.61,114.7211,-0.51,-1.0247462328067725,0.0022842856090966,57.93521499633789,257.3541564941406,175.7912139892578,52.961795806884766,62.04059982299805,42.67594909667969,23.81525230407715,62.459999084472656,271.5,65.16999816894531,159.85443115234375,,,17.49799919128418,254.9706268310547,112.0182647705078,49.428001403808594,48.44716644287109,40.36833190917969,,,117.41999816894533,193.5,0.7848521712299681,27.77777777777778,3.6267514271172976,12.688408142555785,82.93650793650794,0.7333333333333333,42.67594909667969,1.0,47.32142857142857,0.24276497174248718,26.58730158730159,46.27480158730159,41.9109691619873,41.51228561401367,40.332487716674805,38.00870913505554,12.279396137974965,True,True,False,False,False,False,False
2019-04-04,2.22,,-0.61,0.61,114.9697,-0.51,-1.0247462328067725,0.0022564002762847,58.02265167236328,258.0369567871094,175.7242431640625,53.01875686645508,62.174766540527344,41.85335159301758,24.014049530029297,62.09999847412109,267.8900146484375,63.66999816894531,155.8241729736328,,,16.700000762939453,248.85888671875,111.4486846923828,47.40599822998047,48.23208236694336,39.51166534423828,,,115.26000213623048,185.47000122070312,0.7848521712299681,23.809523809523807,3.6273902225010124,10.678165708243226,77.11640211640211,0.6666666666666666,42.67594909667969,0.9807245645129399,53.37301587301587,0.23817630874040402,5.555555555555555,41.789021164021165,41.83109359741211,41.5994140625,40.43084228515625,38.02651303291321,10.063606296985776,True,True,False,False,False,False,False
2019-04-05,2.22,,-0.614,0.6,114.9726,-0.51,-1.0247462328067725,0.0022415529052856,58.130279541015625,259.285888671875,176.6329803466797,53.41746520996094,62.62400817871094,42.05801010131836,24.436931610107425,63.08000183105469,267.45001220703125,64.19999694824219,155.8634796142578,,,16.82200050354004,247.9775848388672,111.9435806274414,47.39599990844727,48.33067321777344,39.80833435058594,,,116.58999633789062,186.2899932861328,0.81210156503806,30.952380952380953,3.628029017884727,11.102084031766468,77.24867724867724,0.6,42.67594909667969,0.9855202049763105,82.93650793650794,0.23810961021418872,5.555555555555555,51.71296296296296,41.89745826721192,41.69806690216065,40.5318595123291,38.04673899650574,10.543008968997373,True,True,False,False,False,False,False
2019-04-08,2.21,,-0.614,0.61,114.6893,-0.51,-1.0247462328067725,0.0022584998520823,58.09666442871094,259.4836120605469,177.08255004882812,53.526634216308594,62.770652770996094,42.103702545166016,24.545366287231445,64.4000015258789,268.8099975585937,63.97999954223633,155.77500915527344,,,17.215999603271484,247.08685302734372,111.98092651367188,47.44200134277344,48.14246368408203,39.81333160400391,,,116.43000030517578,187.1100006103516,0.81210156503806,30.952380952380953,3.628667813268442,11.146786999383007,79.23280423280423,0.6,42.67594909667969,0.9865908886943022,83.53174603174604,0.23776313664760582,4.9603174603174605,52.26851851851852,41.96600875854492,41.76115264892578,40.62254440307617,38.06787791252136,10.601653819314114,True,True,False,False,False,False,False
