date,BAA10Y,HY_OAS_3Y,NFCI,Real_Yield,DXY,CFNAI,INDPRO_YoY,Copper_Gold,HYG,SPY,QQQ,SMH,SOXX,IGV,XLE,OIL,APA,AR,BKR,BP,CHK,CHX,COP,CTRA,CVX,DVN,EOG,EPD,EQNR,EQT,ET,FANG,FTI,HAL,HES,KMI,MPC,MPLX,MRO,MUR,NBR,NOV,OKE,OVV,OXY,PSX,PTEN,RIG,SHEL,SLB,SM,TRGP,TTE,VLO,WHD,WMB,XOM,Score_Dynamics,Ratio_XLE_OIL,Ratio_XLE_OIL_Z,Score_Valuation,Breadth_Integrated,Breadth_E&P,Breadth_Services,Breadth_Refining_Midstream,Breadth_50,Capex_Spread,Capex_Overheat,High_60,Price_Ratio_High,Score_Breadth,Ratio_SPY,Score_Relative,Composite_Radar_Score,MA10,MA20,MA50,MA200,Dist_200MA,Price_Z,OIL_Z,DXY_Z,Macro_Anchor_Z,Dynamic_Beta,Expected_Price_Z,Gap,Gap_Max_45,PriceZ_Max_45,Gap_Median,Gap_Upper,Above_MA20_Conf,Above_MA50_Conf,Below_MA50_3D,Cond_Panic,Cond_Bubble,Macro_Crisis,Cond_Bear,Sell_Signal
2021-12-28,1.86,,-0.551,-1.01,115.4192,0.17,2.246373128107116,0.0024417192550649,66.70484161376953,448.6961059570313,390.6886596679688,152.87440490722656,176.74290466308594,80.16473388671875,23.957195281982425,75.9800033569336,24.0611515045166,18.770000457763672,22.07283973693848,21.347063064575195,,,61.60605239868164,,98.14610290527344,35.7926025390625,73.23606872558594,15.459369659423828,18.701171875,21.295181274414062,5.660902976989746,89.52726745605469,5.964785099029541,20.94706153869629,,12.292924880981444,58.09456253051758,19.54989242553711,,22.55579376220703,86.16999816894531,12.42918872833252,45.987403869628906,30.015594482421875,27.433698654174805,62.38512420654297,7.546678066253662,3.0199999809265137,36.9688720703125,27.07561492919922,27.510326385498047,47.18583297729492,39.51484298706055,64.63053131103516,36.13533020019531,21.315608978271484,52.46770858764648,58.53174603174603,0.31530917439350775,-0.3790033576621661,75.1984126984127,0.5,0.4666666666666667,0.3,0.2,0.3933333333333333,-0.16666666666666669,False,24.95036697387696,0.9601941048428512,97.81746031746032,0.05339291998285505,44.44444444444444,72.37103174603176,23.387560844421387,23.51398344039917,23.95620330810547,21.95226439476013,9.133139302480606,1.2342834701543144,0.7897796983349876,1.3769760408357046,-0.07692259733328927,0.5497262949411353,-0.04228637442927797,1.2765698445835925,2.072083795480892,2.1845635588621386,0.34389274715759033,1.1750777350089205,True,False,False,False,False,False,False,False
2021-12-29,1.85,,-0.551,-0.98,115.3678,0.17,2.246373128107116,0.0024386460639001,66.59778594970703,449.2700805664063,390.63031005859375,152.8500213623047,177.01309204101562,80.05276489257812,23.80334854125977,76.55999755859375,24.043920516967773,18.709999084472656,21.79446029663086,21.28397560119629,,,61.43755340576172,,97.64112854003906,35.551300048828125,72.93571472167969,15.495125770568848,18.54303741455078,21.23000144958496,5.578760147094727,88.34886932373047,5.808074951171875,20.847103118896484,,12.26967430114746,57.71550750732422,19.603715896606445,,22.283830642700195,83.16000366210938,12.42918872833252,45.49965286254883,29.88241577148437,27.22896385192871,61.4737663269043,7.331793785095215,2.859999895095825,36.68333435058594,26.66197204589844,27.80866241455078,46.825225830078125,39.32198715209961,64.76066589355469,35.93522262573242,21.21783447265625,52.0084342956543,55.952380952380956,0.31091100040765185,-0.41687532811975225,73.80952380952381,0.5,0.4666666666666667,0.2,0.2,0.3683333333333333,-0.26666666666666666,False,24.95036697387696,0.9540279935033372,97.22222222222221,0.05298226962109357,42.65873015873016,70.80357142857142,23.4411922454834,23.56484670639038,23.93874755859375,21.9701308631897,8.344136361707214,1.1281466616739715,0.8708209329306599,1.3311770582189575,-0.00997826352918707,0.5479260040109957,-0.005467350062516126,1.1336140117364877,2.072083795480892,2.1845635588621386,0.34389274715759033,1.1750688012106778,True,False,False,False,False,False,False,False
2021-12-30,1.85,,-0.551,-1.06,115.283,0.17,2.246373128107116,0.0024187676641511,66.56715393066406,448.0280456542969,389.46295166015625,151.1136932373047,175.01028442382812,80.24270629882812,23.65805053710937,76.98999786376953,23.31166076660156,17.799999237060547,21.507104873657227,21.047401428222656,,,60.89833831787109,,97.2106704711914,35.125,72.39185333251953,15.516575813293455,18.34364891052246,20.522336959838867,5.585605621337891,87.21106719970703,5.7199249267578125,20.68352508544922,,12.246419906616213,57.2462043762207,19.603715896606445,,22.07136344909668,82.33000183105469,12.292705535888672,45.27513122558594,29.616090774536133,26.95909309387207,61.13622283935547,7.306006908416748,2.8399999141693115,36.448184967041016,26.81484031677246,26.77804374694824,46.42856216430664,39.12468338012695,64.43968963623047,36.29733657836914,21.12005424499512,51.70224380493164,53.57142857142857,0.3072872856302504,-0.447650196571377,70.83333333333334,0.5,0.2,0.2,0.1,0.26,0.0,False,24.95036697387696,0.9482045118566534,97.42063492063492,0.05280484283647763,42.46031746031746,69.375,23.465527534484863,23.5753267288208,23.927498588562013,21.986899518966673,7.600667009466726,1.0283946862337308,0.9299313141777631,1.2661081120603028,0.051515543682536635,0.5452611273980579,0.028089423426863824,1.000305262806867,2.072083795480892,2.1845635588621386,0.34389274715759033,1.1750598674124353,True,False,False,False,False,False,False,False
2021-12-31,1.85,,-0.559,-1.04,115.283,0.17,2.246373128107116,0.0024377564562003,66.5518798828125,446.89892578125,387.0309143066406,150.60646057128906,174.48265075683594,79.50296020507812,23.717878341674805,75.20999908447266,23.16521644592285,17.5,21.605884552001957,21.000080108642575,,,60.982818603515625,,97.14445495605467,35.43064498901367,72.10773468017578,15.702486991882324,18.103010177612305,20.308168411254883,5.633521556854248,87.6499252319336,5.798279762268066,20.78348922729492,,12.292924880981444,57.75160598754883,19.906450271606445,,22.19034576416016,81.08999633789062,12.329102516174316,45.49190902709961,29.917932510375977,26.977706909179688,61.1446647644043,7.26303243637085,2.759999990463257,36.448184967041016,26.931737899780277,26.651472091674805,47.095680236816406,38.72536849975586,65.15971374511719,36.33545684814453,21.21783447265625,52.04245376586914,54.36507936507936,0.315355344725938,-0.3739665510430771,75.79365079365078,0.5,0.2,0.2,0.2,0.275,0.0,False,24.95036697387696,0.9506023845864643,97.81746031746032,0.05307213101980991,43.05555555555556,71.06150793650794,23.54351921081543,23.598079776763917,23.912889785766602,22.001450366973877,7.8014310241902844,1.0546894647805796,0.6440146210979877,1.2561700727565772,-0.1160592564438383,0.5424487665490411,-0.06295620050455893,1.1176456652851385,2.072083795480892,2.1845635588621386,0.34389274715759033,1.1750509336141928,True,False,True,False,False,False,False,False
2022-01-03,1.82,,-0.559,-0.97,115.4101,-0.04,1.3181341030033655,0.0024533178707434,66.52127075195312,449.4864196777344,390.75677490234375,153.9279022216797,177.950927734375,78.59126281738281,24.452919006347656,76.08000183105469,24.173141479492188,17.729999542236328,22.48592567443848,21.58363914489746,,,62.32615661621094,,98.7255630493164,36.65322494506836,73.99910736083984,16.188722610473633,18.37114906311035,20.31748390197754,5.962086200714111,90.89261627197266,6.23902702331543,21.80130195617676,,12.672721862792969,59.2588119506836,20.135177612304688,,23.51615333557129,90.9499969482422,13.093416213989258,46.44417190551758,31.169692993164062,28.90401840209961,63.9124870300293,7.795939445495605,3.119999885559082,37.489559173583984,28.523365020751957,28.61327171325684,47.997215270996094,39.915470123291016,66.92080688476562,38.94650650024414,21.5926456451416,54.04114532470703,63.69047619047619,0.32141055735701596,-0.31843786946932195,77.57936507936508,1.0,0.6,0.6,0.6,0.7,0.0,False,24.95036697387696,0.9800624989584269,89.28571428571429,0.054401908346595924,49.60317460317461,72.72817460317461,23.72343330383301,23.640287399291992,23.905809707641602,22.020914249420166,11.044068059034052,1.488950698572624,0.7725219141487268,1.3294543287787337,-0.06826858302225747,0.5361784722853042,-0.03660414454995647,1.5255548431225805,2.072083795480892,2.1845635588621386,0.34389274715759033,1.1751694322560322,True,False,False,False,False,False,False,False
2022-01-04,1.84,,-0.559,-0.91,115.3103,-0.04,1.3181341030033655,0.002461962557943,66.35298919677734,449.3358459472656,385.68853759765625,153.12802124023438,177.4039764404297,76.8538589477539,25.299070358276367,76.98999786376953,25.37921905517578,18.06999969482422,22.97982215881348,22.51417350769043,,,65.0297622680664,,100.52193450927734,38.33427047729492,77.40033721923828,16.410388946533203,18.549915313720703,20.86685562133789,6.105834484100342,96.87409210205078,6.4153265953063965,23.109926223754883,,12.850990295410156,61.19919967651367,20.666645050048828,,25.394386291503903,97.5199966430664,13.43917751312256,47.53579711914063,33.25596237182617,31.0629825592041,66.30054473876953,8.22570514678955,3.2699999809265137,38.60652160644531,29.908166885375977,30.864362716674805,49.01593780517578,40.119049072265625,68.10931396484375,40.194854736328125,21.7882080078125,56.07383346557617,75.9920634920635,0.3286019973272632,-0.25292099410420965,79.96031746031747,1.0,0.6666666666666666,0.9,0.8,0.8283333333333333,0.2333333333333334,False,25.299070358276367,1.0,94.04761904761905,0.05630325420608772,62.10317460317461,80.31746031746032,23.923432731628417,23.697169017791747,23.91278377532959,22.04549599647522,14.758453891540244,1.9772083255316728,0.9076999796429003,1.256281740272604,0.042107291676698466,0.5305991331479977,0.022342092462866104,1.9548662330688067,2.072083795480892,2.1845635588621386,0.34389274715759033,1.1763739114599845,True,False,False,False,False,False,False,False
2022-01-05,1.8,,-0.559,-0.82,115.137,-0.04,1.3181341030033655,0.0024139537797675,65.84053802490234,440.7076416015625,373.8396911621094,147.87515258789062,171.37789916992188,73.06513977050781,25.294795989990234,77.8499984741211,24.46605110168457,17.31999969482422,23.060644149780277,22.37222671508789,,,63.91450119018555,,101.1759262084961,37.48972702026367,75.97978210449219,16.360332489013672,18.85930633544922,20.19643211364746,6.030538558959961,95.98826599121094,6.32717752456665,22.88273811340332,,12.920750617980955,61.58727264404297,20.377365112304688,,24.799474716186523,92.20999908447266,13.293593406677246,46.94740676879883,32.8564567565918,29.60196304321289,66.08959197998047,7.752964973449707,3.180000066757202,38.62332534790039,29.908166885375977,29.85181999206543,48.7364616394043,40.23648071289063,67.84038543701172,39.64213562011719,21.837093353271484,56.771263122558594,75.39682539682539,0.32491706148495453,-0.28452231468105244,78.96825396825396,1.0,0.6666666666666666,0.8,0.8,0.8033333333333333,0.13333333333333341,False,25.299070358276367,0.999831046428758,91.66666666666666,0.05739586429240748,67.06349206349206,79.92063492063491,24.108047676086425,23.75404796600342,23.93401657104492,22.070757808685304,14.60773666790999,1.9463361880860055,1.0361296224513954,1.1352660166090822,0.1675713668272043,0.5262908698336157,0.08819128040669726,1.8581449076793082,2.072083795480892,2.1845635588621386,0.34389274715759033,1.1773784486043666,True,True,False,False,False,False,False,False
2022-01-06,1.78,,-0.559,-0.73,115.4046,-0.04,1.3181341030033655,0.0024308157702707,65.84814453125,440.2936401367188,373.5769958496094,149.34323120117188,172.70989990234375,73.14710998535156,25.858896255493164,79.45999908447266,25.51705551147461,18.280000686645508,23.30310440063477,22.719202041625977,,,66.31398010253906,,102.0368423461914,38.90534973144531,77.53834533691406,16.639204025268555,19.1480770111084,20.280235290527344,6.215356349945068,100.49061584472656,6.532859802246094,23.273509979248047,,13.192031860351562,63.31107711791992,20.807918548583984,,26.04030036926269,97.37000274658205,13.43917751312256,47.72935104370117,33.77086639404297,30.48601531982422,67.91227722167969,8.328848838806152,3.259999990463257,39.2531852722168,30.61855125427246,31.135578155517575,50.088748931884766,40.79238510131836,69.54070281982422,40.69990158081055,22.35858154296875,58.10655212402344,83.92857142857143,0.32543283789463184,-0.2786510414154494,79.16666666666666,1.0,0.6666666666666666,0.9,1.0,0.8583333333333333,0.2333333333333334,False,25.858896255493164,1.0,89.18650793650794,0.05873102379462835,76.5873015873016,83.21428571428571,24.34779052734375,23.84841356277466,23.96307186126709,22.09626135826111,17.028377951482373,2.245928443796991,1.2815439196930203,1.2987691757308129,0.249418681523487,0.5208763478172446,0.12991629190934637,2.1160121518876447,2.1160121518876447,2.245928443796991,0.34389274715759033,1.1780628577900905,True,True,False,False,False,False,False,False
2022-01-07,1.78,,-0.565,-0.72,115.0451,-0.04,1.3181341030033655,0.0024501947011294,65.67989349365234,438.5530395507813,369.5301818847656,144.80245971679688,167.70046997070312,72.53132629394531,26.21359634399414,78.9000015258789,25.56012916564941,18.440000534057617,23.45576858520508,23.39738655090332,,,68.13041687011719,,103.5020980834961,39.3235969543457,79.68135833740234,16.732154846191406,19.12744903564453,21.23931121826172,6.324877738952637,98.7595672607422,6.7091593742370605,23.64610290527344,,13.385805130004885,64.01500701904297,20.935747146606445,,26.184776306152344,94.76000213623048,13.721243858337402,48.35643768310547,33.566680908203125,30.904783248901367,69.16114807128906,8.28587532043457,3.309999942779541,39.69829177856445,31.49979782104492,29.61676597595215,50.404293060302734,41.47357177734375,70.2694320678711,40.69038009643555,22.823022842407227,58.58283233642578,88.09523809523809,0.33223818142784656,-0.21648116407490875,81.54761904761905,1.0,0.7333333333333333,0.9,1.0,0.8816666666666666,0.16666666666666674,False,26.21359634399414,1.0,76.5873015873016,0.05977292135711852,82.73809523809523,82.20238095238095,24.62300338745117,23.9516544342041,24.002427520751954,22.12353840827942,18.487358849360533,2.409203405890921,1.1815037348204926,1.0583937553834142,0.2855447387389299,0.5152809715960643,0.14713577041154013,2.262067635479381,2.262067635479381,2.409203405890921,0.34389274715759033,1.178600915713014,True,True,False,False,False,False,False,False
2022-01-10,1.76,,-0.565,-0.7,115.2216,-0.04,1.3181341030033655,0.002415758455222,65.73345947265625,438.00726318359375,369.77337646484375,144.98779296875,167.76158142089844,73.21509552001953,26.13239860534668,78.2300033569336,25.34476089477539,19.26000022888184,23.41086196899414,23.31064796447754,,,68.4599380493164,,103.56832122802734,39.00990676879883,79.60018157958984,16.8465633392334,18.818058013916016,21.416229248046875,6.242737293243408,98.62140655517578,6.640597820281982,23.491613388061523,,13.509818077087402,63.581817626953125,20.760831832885746,,25.181915283203125,97.37000274658205,13.839529037475586,47.055789947509766,33.85076141357422,30.132400512695312,70.76446533203125,8.57811164855957,3.3299999237060547,39.47993850708008,31.58072662353516,28.79408073425293,49.19623565673828,41.65364456176758,70.29546356201172,40.06143951416016,22.774133682250977,58.23412322998047,85.51587301587301,0.3340456876328852,-0.1990068169934238,82.14285714285714,1.0,0.7333333333333333,0.9,0.9,0.8666666666666666,0.16666666666666674,False,26.21359634399414,0.9969024571225586,82.14285714285714,0.05966202116240503,81.54761904761905,83.06547619047619,24.83881492614746,24.084375381469727,24.031805839538574,22.15288508415222,17.96386116786807,2.3190785009132506,1.0668329065051272,1.1626874470009767,0.1750247651026856,0.5107045482430894,0.0893859435931199,2.229692557320131,2.262067635479381,2.409203405890921,0.34389274715759033,1.179392202150264,True,True,False,False,False,False,False,False
2022-01-11,1.76,,-0.565,-0.79,114.8332,-0.04,1.3181341030033655,0.0024307158588911,66.03936767578125,441.9967346191406,375.3281555175781,147.91416931152344,170.91786193847656,74.51266479492188,27.021286010742188,81.22000122070312,27.567380905151367,19.34000015258789,24.210081100463867,24.08346176147461,,,70.62281036376953,,105.93587493896484,40.0555305480957,82.96082305908203,17.10398292541504,19.154953002929688,21.909730911254883,6.386484622955322,101.0676498413086,6.7287468910217285,24.754796981811523,,13.649334907531738,65.60344696044922,21.18465805053711,,26.677705764770508,105.75,14.531055450439451,48.37192153930664,34.95160675048828,32.29135513305664,72.6968765258789,8.818782806396484,3.549999952316284,40.72286987304688,32.80366516113281,30.99996757507324,50.84603500366211,42.83591842651367,72.74189758300781,42.36753845214844,23.523765563964844,60.6835823059082,95.23809523809523,0.33269246832921406,-0.20972647689325163,81.94444444444444,1.0,0.7333333333333333,0.9,1.0,0.8816666666666666,0.16666666666666674,False,27.021286010742188,1.0,76.28968253968253,0.06113458289239595,86.70634920634922,84.95039682539681,25.145223999023436,24.26639242172241,24.083602676391603,22.18694441795349,21.7891274333242,2.7710562630302578,1.5389888001439938,0.9050074317195019,0.5613903073985954,0.508866898578915,0.28567294461818693,2.4853833184120706,2.4853833184120706,2.7710562630302578,0.34389274715759033,1.180540572319158,True,True,False,False,False,False,False,False
2022-01-12,1.77,,-0.565,-0.74,114.355,-0.04,1.3181341030033655,0.0024978109958751,66.14646911621094,443.1915893554688,376.81646728515625,149.17739868164062,172.17259216308594,74.29073333740234,27.072568893432617,82.63999938964844,28.127338409423828,20.76000022888184,24.003541946411133,24.596040725708008,,,71.30714416503906,,105.40605926513672,40.13596725463867,83.42351531982422,17.2183895111084,19.402467727661133,22.961923599243164,6.591836929321289,101.23829650878906,6.807102680206299,24.93655204772949,,13.680336952209473,65.9554214477539,21.45375061035156,,26.711700439453125,100.55999755859376,14.412765502929688,48.38741683959961,34.92496490478516,32.337890625,72.82342529296875,8.57811164855957,3.4800000190734863,41.40312576293945,32.77668380737305,31.479116439819336,51.359901428222656,43.86943817138672,73.19298553466797,41.92919158935547,23.792654037475582,60.504981994628906,94.64285714285714,0.32759639178869393,-0.25398867166191913,80.35714285714286,1.0,0.7333333333333333,0.9,1.0,0.8816666666666666,0.16666666666666674,False,27.072568893432617,1.0,76.19047619047619,0.061085475319610893,86.30952380952381,84.28571428571429,25.472146034240723,24.45666913986206,24.140475349426268,22.22090941429138,21.833757514986722,2.736172796631946,1.7541897215024027,0.5932025060506935,0.8152328304811642,0.5102015095092921,0.41593302071302285,2.3202397759189233,2.4853833184120706,2.7710562630302578,0.37026508847928996,1.181005752694329,True,True,False,False,False,False,False,False
2022-01-13,1.8,,-0.565,-0.73,114.177,-0.04,1.3181341030033655,0.0024895673410126,65.90935516357422,437.085205078125,367.3900451660156,146.58267211914062,168.1541290283203,71.1078109741211,26.935815811157227,82.12000274658203,27.644916534423828,19.940000534057617,23.590465545654297,24.61969757080078,,,70.64815521240234,,104.96732330322266,39.92684555053711,83.40718841552734,17.039630889892578,19.457469940185547,21.891111373901367,6.461779594421387,100.84008026123048,6.718953609466553,25.38184928894043,,13.618330955505373,65.99153137207031,21.11065673828125,,26.065792083740234,102.31999969482422,14.749425888061523,47.72935104370117,34.3834342956543,31.7795352935791,73.22846221923828,8.526542663574219,3.400000095367432,41.35273361206055,32.52490997314453,31.40679931640625,51.486114501953125,43.47011947631836,72.31678771972656,41.786251068115234,23.572654724121094,60.07122421264648,92.46031746031747,0.3280054996372165,-0.24889787762485094,80.95238095238095,1.0,0.7333333333333333,0.9,1.0,0.8816666666666666,0.16666666666666674,False,27.072568893432617,0.994948647732186,69.64285714285714,0.06162600677902766,87.6984126984127,82.02380952380952,25.79992256164551,24.632725048065186,24.193937873840333,22.25551097869873,21.02986912741804,2.604132562092305,1.6565099278945103,0.47505485808195275,0.803884013503925,0.5126753294466423,0.4121315014600138,2.192001060632291,2.4853833184120706,2.7710562630302578,0.3786455504351507,1.1816188564463774,True,True,False,False,False,False,False,False
2022-01-14,1.79,,-0.564,-0.66,114.3825,-0.04,1.3181341030033655,0.0024285714159712,65.84814453125,437.263916015625,369.6761169433594,149.6895294189453,172.17901611328125,71.38371276855469,27.56829643249512,83.81999969482422,28.678686141967773,20.030000686645508,24.659080505371094,25.266340255737305,,,73.28413391113281,,106.7554168701172,40.53008270263672,86.37548828125,17.154037475585938,20.13813591003418,22.15182876586914,6.564456462860107,105.0092544555664,6.905046463012695,26.11794662475586,,13.866361618041992,67.4535903930664,21.198110580444336,,27.08564758300781,115.0199966430664,15.03149700164795,48.47258377075195,36.69163513183594,33.045127868652344,74.74739074707031,8.861759185791016,3.5199999809265137,42.032989501953125,33.999637603759766,33.12449264526367,52.09013366699219,44.70719909667969,73.91305541992188,43.80648040771485,23.86598777770996,61.1258544921875,96.42857142857143,0.32889875022523923,-0.2394182164527476,81.34920634920636,1.0,0.7333333333333333,0.9,1.0,0.8816666666666666,0.16666666666666674,False,27.56829643249512,1.0,76.09126984126983,0.06304727059049164,91.86507936507937,85.87301587301587,26.18496437072754,24.864241790771484,24.25372180938721,22.29393515586853,23.658278539660127,2.8850413040321596,1.9168699971261727,0.6028121082225378,0.9089971549866884,0.5167567255781471,0.4697303933707726,2.415310910661387,2.4853833184120706,2.8850413040321596,0.3851801973291067,1.182623278756458,True,True,False,False,False,False,False,False
2022-01-17,1.79,,-0.564,-0.66,114.3825,-0.04,1.3181341030033655,0.0024285714159712,65.84814453125,437.263916015625,369.6761169433594,149.6895294189453,172.17901611328125,71.38371276855469,27.56829643249512,83.81999969482422,28.678686141967773,20.030000686645508,24.659080505371094,25.266340255737305,,,73.28413391113281,,106.7554168701172,40.53008270263672,86.37548828125,17.154037475585938,20.13813591003418,22.15182876586914,6.564456462860107,105.0092544555664,6.905046463012695,26.11794662475586,,13.866361618041992,67.4535903930664,21.198110580444336,,27.08564758300781,115.0199966430664,15.03149700164795,48.47258377075195,36.69163513183594,33.045127868652344,74.74739074707031,8.861759185791016,3.5199999809265137,42.032989501953125,33.999637603759766,33.12449264526367,52.09013366699219,44.70719909667969,73.91305541992188,43.80648040771485,23.86598777770996,61.1258544921875,95.63492063492063,0.32889875022523923,-0.23792073999626606,81.54761904761905,1.0,0.7333333333333333,0.9,1.0,0.8816666666666666,0.16666666666666674,False,27.56829643249512,1.0,75.9920634920635,0.06304727059049164,91.26984126984127,85.56547619047619,26.496502113342284,25.109967708587646,24.309033699035645,22.33314323425293,23.44118399873466,2.819593282706868,1.899576507177068,0.5984571378832371,0.900363049152946,0.520128488764012,0.46830447209487963,2.3512888106119885,2.4853833184120706,2.8850413040321596,0.40772716949909027,1.183419120030982,True,True,False,False,False,False,False,False
