date,BAA10Y,HY_OAS_3Y,NFCI,Real_Yield,DXY,CFNAI,INDPRO_YoY,Copper_Gold,HYG,SPY,QQQ,SMH,SOXX,IGV,XLE,OIL,AMT,ARE,AVB,BXP,CCI,DHI,DLR,EQIX,EQR,ESS,EXR,INVH,IYR,KIM,KRC,LEN,MAA,NNN,NVR,O,PHM,PLD,PSA,REXR,SLG,SPG,TOL,VNO,VNQ,VTR,WELL,XLRE,MA10,MA20,MA50,MA200,Dist_200MA,Score_Dynamics,Score_Valuation,Breadth_Telecom_Data,Breadth_Industrial_Storage,Breadth_Retail_Health,Breadth_Residential,Breadth_Homebuilders,Breadth_Office_CRE,Breadth_50,Homebuilder_CRE_Spread,High_60,Score_Breadth,Ratio_SPY,Score_Relative,Composite_Radar_Score,Below_MA50_3D,Below_MA200_3D,Above_MA20_Conf,Above_MA50_Conf,Cond_Panic,Recently_Crashed,Cond_Bubble,Cond_Bear,Sell_Signal
2014-04-28,2.13,,-0.784,0.52,94.1374,0.05,2.9123215934373725,0.0023931788015917,48.56303024291992,152.07504272460938,78.73746490478516,19.51887893676757,22.615184783935547,15.207315444946287,29.314083099365234,100.83999633789062,62.11734771728516,47.40407943725586,,71.29285430908203,42.89894104003906,19.65040397644043,33.29108428955078,131.64541625976562,,116.72461700439452,32.02510070800781,,47.089393615722656,12.671730995178224,36.18882751464844,32.94807052612305,44.67572021484375,19.084352493286133,1073.1300048828125,23.535320281982425,15.645063400268556,28.21971702575684,108.49837493896484,10.165599822998049,57.3773193359375,88.67765045166016,30.94021224975586,47.4458122253418,44.56305313110352,44.2856674194336,39.24256134033203,,44.18878326416016,43.8921236038208,43.252470626831055,41.058222427368165,8.536245595959226,79.96031746031747,56.448412698412696,0.5,1.0,1.0,0.4,0.0,1.0,0.66,-1.0,44.56305313110352,68.65079365079364,0.293033309954758,80.95238095238095,70.8,False,False,True,True,False,False,False,False,False
2014-04-29,2.15,,-0.784,0.53,94.0295,0.05,2.9123215934373725,0.0023707561654809,48.63523864746094,152.7830047607422,79.36577606201172,19.60261344909668,22.770267486572266,15.35594654083252,29.44906044006348,101.27999877929688,61.77498626708984,47.27539443969727,,70.82881927490234,42.940826416015625,19.510927200317383,33.61933517456055,135.6932373046875,,116.50182342529295,32.3583869934082,,47.11656188964844,12.693955421447754,36.46569061279297,32.84632873535156,44.54736328125,18.979124069213867,1080.8800048828125,23.53641128540039,15.705068588256836,28.185253143310547,108.71463775634766,10.058745384216309,57.24458312988281,89.13312530517578,31.0935115814209,47.46908187866211,44.59374237060547,44.413692474365234,39.14927291870117,,44.29861145019531,43.95532073974609,43.298371200561526,41.06957122802734,8.580978659385433,80.15873015873017,57.14285714285714,0.75,1.0,1.0,0.4,0.0,1.0,0.7100000000000001,-1.0,44.59374237060547,58.23412698412699,0.2918763277397192,76.98412698412699,67.4,False,False,True,True,False,False,False,False,False
2014-04-30,2.16,,-0.784,0.49,93.8896,0.05,2.9123215934373725,0.0023382989076233,48.62490463256836,153.2386932373047,79.57518768310547,19.68634605407715,22.88437843322754,15.514355659484863,29.4239501953125,99.73999786376952,62.16197967529297,47.4941520690918,,70.59379577636719,43.49701690673828,19.42374038696289,33.707706451416016,137.4720001220703,,116.97439575195312,32.90543746948242,,47.32698440551758,12.732839584350586,36.6502685546875,32.71916198730469,44.70139694213867,18.90159034729004,1077.0,23.563522338867188,15.765076637268066,28.006027221679688,108.44279479980467,10.129979133605955,57.9082145690918,89.64031982421875,30.877099990844727,47.75767517089844,44.75325012207031,44.52149963378906,39.23011779785156,,44.37285232543945,44.016676902770996,43.34331672668457,41.08082540512085,8.939510539853188,82.73809523809523,55.952380952380956,0.75,0.75,1.0,0.4,0.0,1.0,0.66,-1.0,44.75325012207031,68.5515873015873,0.2920492806132564,77.57936507936508,71.0,False,False,True,True,False,False,False,False,False
2014-05-01,2.14,,-0.784,0.43,93.8707,0.12,3.226027611336124,0.0023606890355412,48.5746955871582,153.25497436523438,79.8119125366211,19.540916442871094,22.81122779846192,15.54955768585205,29.3580322265625,99.41999816894533,64.17900085449219,47.33330154418945,,71.25068664550781,43.981441497802734,19.903228759765625,33.796077728271484,138.35763549804688,,117.93980407714844,32.76710510253906,,47.69353866577149,12.782835006713867,36.91482925415039,33.38048553466797,44.6372299194336,18.851747512817383,1086.800048828125,23.43337059020996,15.885090827941896,28.21971702575684,108.86299896240234,10.208337783813477,58.37828826904297,89.87320709228516,31.309953689575195,48.018333435058594,44.943458557128906,44.89879608154297,39.3296012878418,,44.43788948059082,44.08570232391357,43.39255401611328,41.092881965637204,9.370422339108854,83.33333333333334,53.37301587301587,0.75,1.0,1.0,0.4,0.2,1.0,0.7400000000000001,-0.8,44.943458557128906,52.67857142857143,0.29325937864842483,80.95238095238095,66.3,False,False,True,True,False,False,False,False,False
2014-05-02,2.14,,-0.785,0.41,93.8182,0.12,3.226027611336124,0.0023656533941048,48.6885986328125,153.03526306152344,79.6662368774414,19.57176780700684,22.890226364135746,15.539776802062988,29.41767883300781,99.76000213623048,64.7520751953125,47.80297470092773,,71.02167510986328,44.597442626953125,20.156049728393555,34.08644104003906,136.754638671875,,118.72301483154295,32.785972595214844,,47.67316055297852,12.760612487792969,37.16092300415039,33.81288146972656,45.0608024597168,19.195114135742188,1107.3299560546875,23.43337059020996,16.039396286010742,28.116315841674805,105.3719482421875,10.23683738708496,58.67695999145508,89.5730209350586,31.92317008972168,48.09282302856445,44.93120574951172,44.83141708374024,39.236324310302734,,44.5274715423584,44.15871734619141,43.44337532043457,41.10410404205322,9.31075326089829,83.33333333333334,51.88492063492064,1.0,1.0,1.0,0.4,0.2,1.0,0.7900000000000001,-0.8,44.943458557128906,42.06349206349206,0.29360034315390704,82.73809523809523,63.0,False,False,True,True,False,False,False,False,False
2014-05-05,2.15,,-0.785,0.45,93.7334,0.12,3.226027611336124,0.0023460657747762,48.66788482666016,153.32823181152344,80.08511352539062,19.576169967651367,22.91071510314941,15.533912658691406,29.5557804107666,99.4800033569336,65.79409790039062,47.77080535888672,,70.99154663085938,45.72777557373047,20.03400421142578,34.2000732421875,139.78500366210938,,119.70872497558594,32.50300216674805,,47.8428955078125,12.73838996887207,37.283966064453125,33.24482345581055,45.362449645996094,19.289268493652344,1100.1800537109375,23.601490020751957,15.867945671081545,28.392038345336918,106.2308578491211,10.172725677490234,58.63823318481445,90.08025360107422,31.481294631958008,48.195220947265625,45.023223876953125,45.12786865234375,39.50993728637695,,44.60109748840332,44.228970527648926,43.4939640045166,41.11397216796875,9.50832892772646,84.32539682539682,54.761904761904766,1.0,1.0,1.0,0.4,0.2,1.0,0.7900000000000001,-0.8,45.023223876953125,42.26190476190476,0.29363949055577243,82.34126984126983,64.0,False,False,True,True,False,False,False,False,False
2014-05-06,2.15,,-0.785,0.45,93.4324,0.12,3.226027611336124,0.0023503783023153,48.67826843261719,151.99366760253906,79.04705810546875,19.54532241821289,22.822933197021484,15.299234390258787,29.599733352661133,99.5,64.90093994140625,48.047462463378906,,70.54559326171875,45.87131118774414,19.55450820922852,34.40205764770508,137.79397583007812,,119.14835357666016,32.352088928222656,,47.66640090942383,12.69951057434082,37.0194091796875,32.72761917114258,45.368873596191406,19.30034065246582,1084.47998046875,23.476757049560547,15.662201881408691,28.006027221679688,105.56970977783205,10.1442289352417,58.66036605834961,89.74380493164062,30.651655197143555,48.17660903930664,44.86370086669922,45.16155242919922,39.39801025390625,,44.64895477294922,44.2841911315918,43.53929008483887,41.123191337585446,9.095863933339851,82.93650793650794,54.662698412698404,1.0,0.75,1.0,0.4,0.0,1.0,0.7100000000000001,-1.0,45.023223876953125,55.75396825396825,0.29516822361321693,86.11111111111111,68.2,False,False,True,True,False,False,False,False,False
2014-05-07,2.16,,-0.785,0.42,93.4337,0.12,3.226027611336124,0.0023672978223436,48.75069808959961,152.88877868652344,78.81941223144531,19.6202449798584,22.83171272277832,15.322697639465332,29.85711479187012,100.7699966430664,65.75686645507812,48.10533142089844,,71.53392028808594,46.4693603515625,19.54578971862793,35.216346740722656,137.14251708984375,,121.26150512695312,32.679073333740234,,48.2230224609375,12.888386726379396,37.29012298583984,32.6937141418457,46.09409713745117,19.48309326171875,1090.949951171875,23.97567749023437,15.60219383239746,28.4127197265625,107.01551818847656,10.201217651367188,59.50098419189453,90.94971466064452,30.723779678344727,48.967918395996094,45.40364074707031,45.73424530029297,39.56589126586914,,44.76860046386719,44.35291061401367,43.59261085510254,41.13445592880249,10.378610150228159,87.5,53.17460317460318,1.0,1.0,1.0,0.4,0.0,1.0,0.7600000000000001,-1.0,45.40364074707031,47.817460317460316,0.29697170150180857,92.06349206349206,67.7,False,False,True,True,False,False,False,False,False
2014-05-08,2.18,,-0.785,0.42,93.3686,0.12,3.226027611336124,0.0023943606668249,48.740379333496094,152.72605895996094,78.74656677246094,19.74804878234864,22.989717483520508,15.269898414611816,29.43022346496582,100.26000213623048,65.68244171142578,48.08605194091797,,71.75086975097656,46.17034530639648,19.38014793395996,35.49409484863281,137.80865478515625,,121.53833770751952,32.33951568603516,,48.25019836425781,12.727279663085938,37.296268463134766,32.549583435058594,45.97856521606445,19.48863410949707,1087.1400146484375,23.85637092590332,15.567901611328123,28.522998809814453,105.96511840820312,10.172725677490234,59.666873931884766,91.1153335571289,30.58851623535156,49.235084533691406,45.5079345703125,46.0845947265625,40.49466323852539,,44.8802677154541,44.43236675262451,43.64606651306153,41.1464799118042,10.599824499828177,88.4920634920635,54.166666666666664,1.0,1.0,1.0,0.4,0.0,1.0,0.7600000000000001,-1.0,45.5079345703125,47.71825396825397,0.2979709872710261,93.45238095238095,68.4,False,False,True,True,False,False,False,False,False
2014-05-09,2.21,,-0.788,0.44,93.6614,0.12,3.226027611336124,0.0024085294719238,48.78696060180664,152.9539031982422,79.03794860839844,19.6599063873291,22.916561126708984,15.34421443939209,29.401987075805664,99.98999786376952,65.98015594482422,48.23404312133789,,71.97383880615234,46.19427490234375,19.188352584838867,36.5293083190918,139.51417541503906,,121.75440979003906,32.4212532043457,,48.2433967590332,12.62728500366211,37.53006362915039,32.55805969238281,46.22246551513672,19.455400466918945,1090.1300048828125,23.74248504638672,15.705068588256836,28.398941040039062,106.05164337158205,10.215466499328612,59.99870681762695,90.90830993652344,30.7418270111084,49.44131088256836,45.53862380981445,45.65337753295898,40.5450439453125,,45.012183380126956,44.53421878814697,43.70245231628418,41.16285043716431,10.630394460485252,88.69047619047619,55.35714285714286,1.0,1.0,1.0,0.4,0.0,1.0,0.7600000000000001,-1.0,45.53862380981445,47.61904761904761,0.29772776540911317,92.46031746031747,68.6,False,False,True,True,False,False,False,False,False
