date,diluted_shares_m,sbc_pct_rev,insider_net_flow_m
2010-12-03,125.0,15.2,0.0
2010-12-06,125.0,15.2,0.0
2010-12-07,125.0,15.2,0.0
2010-12-08,125.0,15.2,0.0
2010-12-09,125.0,15.2,0.0
2010-12-10,125.0,15.2,0.0
2010-12-13,125.0,15.2,0.0
2010-12-14,125.0,15.2,0.0
2010-12-15,125.0,15.2,0.0
2010-12-16,125.0,15.2,0.0
2010-12-17,125.0,15.2,0.0
2010-12-20,125.0,15.2,0.0
2010-12-21,125.0,15.2,0.0
2010-12-22,125.0,15.2,0.0
2010-12-23,125.0,15.2,0.0
2010-12-27,125.0,15.2,0.0
2010-12-28,125.0,15.2,0.0
2010-12-29,125.0,15.2,0.0
2010-12-30,125.0,15.2,0.0
2010-12-31,125.0,15.2,0.0
2011-01-03,125.0,15.2,0.0
2011-01-04,125.0,15.2,0.0
2011-01-05,125.0,15.2,0.0
2011-01-06,125.0,15.2,0.0
2011-01-07,125.0,15.2,0.0
2011-01-10,125.0,15.2,0.0
2011-01-11,125.0,15.2,0.0
2011-01-12,125.0,15.2,0.0
2011-01-13,125.0,15.2,0.0
2011-01-14,125.0,15.2,0.0
2011-01-18,125.0,15.2,0.0
2011-01-19,125.0,15.2,0.0
2011-01-20,125.0,15.2,0.0
2011-01-21,125.0,15.2,0.0
2011-01-24,125.0,15.2,0.0
2011-01-25,125.0,15.2,0.0
2011-01-26,125.0,15.2,0.0
2011-01-27,125.0,15.2,0.0
2011-01-28,125.0,15.2,0.0
2011-01-31,125.0,15.2,0.0
2011-02-01,125.0,15.2,0.0
2011-02-02,125.0,15.2,0.0
2011-02-03,125.0,15.2,0.0
2011-02-04,125.0,15.2,0.0
2011-02-07,125.0,15.2,0.0
2011-02-08,125.0,15.2,0.0
2011-02-09,125.0,15.2,0.0
2011-02-10,125.0,15.2,0.0
2011-02-11,125.0,15.2,0.0
2011-02-14,125.0,15.2,0.0
2011-02-15,125.0,15.2,0.0
2011-02-16,125.0,15.2,0.0
2011-02-17,125.0,15.2,0.0
2011-02-18,125.0,15.2,0.0
2011-02-22,125.0,15.2,0.0
2011-02-23,125.0,15.2,0.0
2011-02-24,125.0,15.2,0.0
2011-02-25,125.0,15.2,0.0
2011-02-28,125.0,15.2,0.0
2011-03-01,125.0,15.2,0.0
2011-03-02,125.0,15.2,0.0
2011-03-03,125.0,15.2,0.0
2011-03-04,125.0,15.2,0.0
2011-03-07,125.0,15.2,0.0
2011-03-08,125.0,15.2,0.0
2011-03-09,125.0,15.2,0.0
2011-03-10,125.0,15.2,0.0
2011-03-11,125.0,15.2,0.0
2011-03-14,125.0,15.2,0.0
2011-03-15,125.0,15.2,0.0
2011-03-16,125.0,15.2,0.0
2011-03-17,125.0,15.2,0.0
2011-03-18,125.0,15.2,0.0
2011-03-21,125.0,15.2,0.0
2011-03-22,125.0,15.2,0.0
2011-03-23,125.0,15.2,0.0
2011-03-24,125.0,15.2,0.0
2011-03-25,125.0,15.2,0.0
2011-03-28,125.0,15.2,0.0
2011-03-29,125.0,15.2,0.0
2011-03-30,125.0,15.2,0.0
2011-03-31,125.0,15.2,0.0
2011-04-01,125.0,15.2,0.0
2011-04-04,125.0,15.2,0.0
2011-04-05,125.0,15.2,0.0
2011-04-06,125.0,15.2,0.0
2011-04-07,125.0,15.2,0.0
2011-04-08,125.0,15.2,0.0
2011-04-11,125.0,15.2,0.0
2011-04-12,125.0,15.2,0.0
2011-04-13,125.0,15.2,0.0
2011-04-14,125.0,15.2,0.0
2011-04-15,125.0,15.2,0.0
2011-04-18,125.0,15.2,0.0
2011-04-19,125.0,15.2,0.0
2011-04-20,125.0,15.2,0.0
2011-04-21,125.0,15.2,0.0
2011-04-25,125.0,15.2,0.0
2011-04-26,125.0,15.2,0.0
2011-04-27,125.0,15.2,0.0
2011-04-28,125.0,15.2,0.0
2011-04-29,125.0,15.2,0.0
2011-05-02,125.0,15.2,0.0
2011-05-03,125.0,15.2,0.0
2011-05-04,125.0,15.2,0.0
2011-05-05,125.0,15.2,0.0
2011-05-06,125.0,15.2,0.0
2011-05-09,125.0,15.2,0.0
2011-05-10,125.0,15.2,0.0
2011-05-11,125.0,15.2,0.0
2011-05-12,125.0,15.2,0.0
2011-05-13,125.0,15.2,0.0
2011-05-16,125.0,15.2,0.0
2011-05-17,125.0,15.2,0.0
2011-05-18,125.0,15.2,0.0
2011-05-19,125.0,15.2,0.0
2011-05-20,125.0,15.2,0.0
2011-05-23,125.0,15.2,0.0
2011-05-24,125.0,15.2,0.0
2011-05-25,125.0,15.2,0.0
2011-05-26,125.0,15.2,0.0
2011-05-27,125.0,15.2,0.0
2011-05-31,125.0,15.2,0.0
2011-06-01,125.0,15.2,0.0
2011-06-02,125.0,15.2,0.0
2011-06-03,125.0,15.2,0.0
2011-06-06,125.0,15.2,0.0
2011-06-07,125.0,15.2,0.0
2011-06-08,125.0,15.2,0.0
2011-06-09,125.0,15.2,0.0
2011-06-10,125.0,15.2,0.0
2011-06-13,125.0,15.2,0.0
2011-06-14,125.0,15.2,0.0
2011-06-15,125.0,15.2,0.0
2011-06-16,125.0,15.2,0.0
2011-06-17,125.0,15.2,0.0
2011-06-20,125.0,15.2,0.0
2011-06-21,125.0,15.2,0.0
2011-06-22,125.0,15.2,0.0
2011-06-23,125.0,15.2,0.0
2011-06-24,125.0,15.2,0.0
2011-06-27,125.0,15.2,0.0
2011-06-28,125.0,15.2,0.0
2011-06-29,125.0,15.2,0.0
2011-06-30,125.0,15.2,0.0
2011-07-01,125.0,15.2,0.0
2011-07-05,125.0,15.2,0.0
2011-07-06,125.0,15.2,0.0
2011-07-07,125.0,15.2,0.0
2011-07-08,125.0,15.2,0.0
2011-07-11,125.0,15.2,0.0
2011-07-12,125.0,15.2,0.0
2011-07-13,125.0,15.2,0.0
2011-07-14,125.0,15.2,0.0
2011-07-15,125.0,15.2,0.0
2011-07-18,125.0,15.2,0.0
2011-07-19,125.0,15.2,0.0
2011-07-20,125.0,15.2,0.0
2011-07-21,125.0,15.2,0.0
2011-07-22,125.0,15.2,0.0
2011-07-25,125.0,15.2,0.0
2011-07-26,125.0,15.2,0.0
2011-07-27,125.0,15.2,0.0
2011-07-28,125.0,15.2,0.0
2011-07-29,125.0,15.2,0.0
2011-08-01,125.0,15.2,0.0
2011-08-02,125.0,15.2,0.0
2011-08-03,125.0,15.2,0.0
2011-08-04,125.0,15.2,0.0
2011-08-05,125.0,15.2,0.0
2011-08-08,125.0,15.2,0.0
2011-08-09,125.0,15.2,0.0
2011-08-10,125.0,15.2,0.0
2011-08-11,125.0,15.2,0.0
2011-08-12,125.0,15.2,0.0
2011-08-15,125.0,15.2,0.0
2011-08-16,125.0,15.2,0.0
2011-08-17,125.0,15.2,0.0
