date,AIG,AXP,BAC,BK,BKU,BLK,BRK_B,C,CB,CBSH,CFG,CFR,CME,COF,EWBC,FCNCA,FITB,GS,HBAN,ICE,JPM,KEY,KRE,MA,MCO,MET,MS,MTB,PGR,PNC,SCHW,SPGI,TFC,TRV,USB,V,WAL,WFC,XLF,ZION
2018-06-25,43.730552673339844,88.335205078125,23.410030364990234,,33.226478576660156,419.3642883300781,186.72999572753906,49.97730255126953,109.20384216308594,42.44765090942383,28.995941162109375,87.78124237060547,123.34072875976562,82.02761840820312,55.624420166015625,401.2147521972656,22.029315948486328,184.14707946777344,10.584041595458984,66.81580352783203,83.86833190917969,13.73050308227539,50.49127960205078,186.1117706298828,157.7599334716797,34.216835021972656,37.442955017089844,133.3767547607422,47.423763275146484,103.53290557861328,47.62539291381836,179.56362915039062,36.14464569091797,104.01092529296875,36.434295654296875,123.54258728027344,50.776737213134766,43.06181716918945,23.011310577392578,41.76780700683594
2018-06-26,43.26274490356445,88.03934478759766,23.459348678588867,,32.83285140991211,415.87188720703125,186.44000244140625,50.40296936035156,108.73248291015625,42.64811325073242,28.491971969604492,86.74076080322266,122.64434051513672,81.38513946533203,55.45287322998047,406.3655090332031,21.692209243774414,184.18032836914062,10.479594230651855,67.0585708618164,83.92436218261719,13.518838882446289,50.25031280517578,187.52455139160156,157.6389617919922,34.065433502197266,37.33359909057617,132.08827209472656,47.08490753173828,102.67281341552734,47.32223129272461,178.86807250976562,35.948936462402344,103.0861587524414,36.16056823730469,125.0711441040039,50.81108856201172,42.638851165771484,22.933977127075195,41.3090705871582
2018-06-27,42.649776458740234,86.91880798339844,23.212751388549805,,32.04560852050781,409.912841796875,184.91000366210938,49.75688552856445,109.28237915039062,41.91090774536133,28.080280303955078,85.09014129638672,120.89596557617188,80.16100311279297,53.98240280151367,396.647216796875,21.201200485229492,183.01661682128906,10.361218452453613,66.12332916259766,82.62777709960938,13.34132194519043,49.30249786376953,184.3937225341797,156.70877075195312,33.23272705078125,36.864871978759766,130.7610626220703,46.26535415649414,101.19195556640625,46.27893829345703,177.69712829589844,35.431678771972656,102.01006317138672,35.89405822753906,123.62750244140625,49.44594192504883,42.51914596557617,22.65041732788086,40.55979919433594
2018-06-28,42.93207931518555,86.92778015136719,23.566204071044922,,31.80634117126465,408.47998046875,187.08999633789062,50.83623123168945,110.55677032470703,41.885032653808594,28.0447940826416,85.19184112548828,121.392333984375,80.26518249511719,53.94973373413086,392.89605712890625,21.19383430480957,185.7097625732422,10.368182182312012,66.40210723876953,83.98038482666016,13.382292747497559,49.350685119628906,188.13543701171875,158.67144775390625,33.26300811767578,37.72419357299805,130.9240264892578,46.91153335571289,101.39390563964844,46.10951614379883,179.33468627929688,35.40371322631836,102.94322967529297,35.95927810668945,125.25044250488281,49.548954010009766,42.798465728759766,22.848047256469727,40.65155792236328
2018-06-29,42.7626953125,87.85111236572266,23.17165184020996,,31.528488159179688,406.25762939453125,186.64999389648438,50.866641998291016,110.87100982666016,41.84624099731445,27.611801147460938,84.67552947998047,121.4367446899414,79.78768157958984,53.26351547241211,391.93389892578125,21.16432762145996,183.34078979492188,10.27766227722168,66.1413345336914,83.39613342285156,13.34132194519043,48.997257232666016,187.581787109375,158.65283203125,33.0056266784668,37.02891540527344,132.06497192382812,46.61208724975586,101.0423812866211,45.56560134887695,179.51083374023438,35.256935119628906,102.85078430175781,36.24917221069336,124.97679901123047,48.60453796386719,44.24289321899414,22.848047256469727,40.28456497192383
2018-07-02,43.036930084228516,88.7475814819336,23.245635986328125,,31.983863830566406,406.64837646484375,187.8300018310547,51.049072265625,110.68771362304688,42.19545364379883,27.952510833740234,85.6768798828125,121.48863220214844,81.41987609863281,53.6556396484375,394.8299255371094,21.444557189941406,185.5767822265625,10.326403617858887,66.30317687988281,84.10041809082031,13.56663990020752,49.41493225097656,188.67947387695312,159.03428649902344,32.990482330322266,37.27891159057617,132.01841735839844,47.07701873779297,101.65563201904297,45.74391174316406,179.88938903808594,35.76019287109375,102.8927993774414,36.53178024291992,125.02397155761719,49.05099105834961,44.94516372680664,22.95975112915039,40.49099349975586
2018-07-03,43.28696060180664,87.70770263671875,22.83464241027832,,32.14595413208008,399.94854736328125,186.02000427246094,50.21294403076172,111.35980224609375,41.9432258605957,27.65438461303711,84.80069732666016,119.36241912841797,80.69058227539062,53.410560607910156,393.95538330078125,21.31919288635254,183.18283081054688,10.249808311462402,65.27801513671875,82.9239273071289,13.436909675598145,49.246273040771484,187.36219787597656,157.90867614746094,32.854225158691406,36.732078552246094,131.218994140625,46.75393295288086,100.51138305664062,44.79872512817383,178.4895477294922,35.28489685058594,103.21224975585938,36.21293258666992,124.03324127197266,49.2398681640625,44.33866500854492,22.753530502319336,40.00931930541992
2018-07-05,43.488582611083984,88.64329528808594,22.949722290039062,,32.17681121826172,400.51019287109375,187.5,50.59299850463867,111.94464111328125,41.90443420410156,27.810548782348633,84.85545349121094,118.75498962402344,80.44747924804688,53.53308868408203,394.2662658691406,21.252819061279297,183.48214721679688,10.270699501037598,65.37694549560547,83.46307373046875,13.361807823181152,49.32658004760742,189.82485961914062,159.11795043945312,32.975345611572266,36.48208999633789,131.2344970703125,46.54116439819336,101.40135955810547,44.121036529541016,180.32083129882812,35.508567810058594,103.06936645507812,36.18394088745117,125.76943969726562,49.44594192504883,44.08330154418945,22.805091857910156,40.047550201416016
2018-07-06,43.85152816772461,88.63433837890625,23.040138244628906,,32.36204528808594,400.274169921875,187.55999755859375,51.03386688232422,112.76510620117188,42.1889762878418,27.931224822998047,85.29354858398438,118.85128784179688,80.6558609008789,53.88438415527344,396.8320007324219,21.48880386352539,184.35488891601562,10.35425853729248,65.73665618896484,83.73665618896484,13.450566291809082,49.76032638549805,190.68505859375,160.7457733154297,33.10403060913086,36.7867546081543,131.14132690429688,46.64360809326172,101.7154769897461,45.16432571411133,181.69427490234375,35.79515075683594,103.55695343017578,36.38684844970703,126.52424621582031,49.53179168701172,44.60200500488281,22.916791915893555,40.20045471191406
2018-07-09,44.81131362915039,89.88485717773438,23.878559112548828,,32.933197021484375,410.3768005371094,189.63999938964844,52.402076721191406,115.29643249511719,43.23659133911133,28.74750518798828,87.65607452392578,121.1478500366211,83.83348846435547,55.27315139770508,402.5267639160156,22.09349822998047,189.5083770751953,10.591005325317383,67.06757354736328,86.32777404785156,13.853400230407715,50.7965087890625,192.0325927734375,163.20150756835938,34.421241760253906,37.81793212890625,133.96656799316406,46.94306182861328,103.80215454101562,46.27893829345703,184.08021545410156,36.75275802612305,105.42327117919922,37.227500915527344,127.87354278564453,50.6737174987793,45.30427932739258,23.440942764282227,41.23260498046875
