date,NOW,high,low,open,volume,SPY,HYG,BAA10Y,NFCI,Real_Yield,diluted_shares_m,sbc_pct_rev,insider_net_flow_m,MA10,MA20,MA50,MA200,Dist_200MA,Macro_MA50,Macro_MA200,BAA_MA60,BAA_Stress,RY_Surge,Price_Z,Macro_Z,Dynamic_Beta,Expected_Price_Z,Gap,Gap_Max_45,Gap_Upper,q1,q1_dot,q1_ddot,v_dot,Quadrant,CMF20,Vol_Ratio50,Score_Dim1_Pos,Score_Dim2_Vel,Score_Dim3_Lyapunov,Score_Dim4_Capital,Score_Dim5_Liquidity,Score_Dim6_Macro,Composite_Score,Dist_50MA,MA200_Slope,Trigger_Panic,Trigger_Stage,Trigger_Bubble_Top,Trigger_Bear_Top,Trigger_Top,Trigger_Overbought,Trigger_Oversold,Signal_Oversold,Signal_Overbought,Radar_Alert_Type,Radar_Alert_Reason,signal_ready,bench_nav,strat_nav,Position,action,strat_shares,strat_cash
2019-06-26,55.06800079345703,57.040000915527344,54.77199935913086,55.75600051879883,6552000,262.2624816894531,58.96830749511719,2.32,-0.576,0.35,182.5,18.8,-55.0,55.92979965209961,54.432799911499025,53.34184005737305,43.52439003944397,26.522165482157124,58.30944152832031,56.58972354888916,2.2598333333333334,True,False,1.5224259120285322,1.6326823432233588,0.7181842468423499,1.172566739000671,0.34985917302786107,1.288249166595015,2.06343643620795,26.522165482157124,0.10079060525012515,-0.1372621407216014,1.2897116873647883,1,-0.07526712938242677,0.7435585495614904,84.83001924310456,52.96965784377017,44.65673575129534,60.47682919489395,22.57118303767458,43.37315130830489,58.478938170684316,3.2360352290572867,1.966021379090773,False,False,False,False,False,False,False,False,True,无,正常跟踪中,True,323946.1859283937,259446.42129354965,1.0,HOLD,4711.382609778274,0.0
2019-06-27,55.70199966430664,56.16600036621094,55.242000579833984,55.4739990234375,5720000,263.1925354003906,59.13117599487305,2.31,-0.576,0.33,182.5,18.8,-55.0,56.024199676513675,54.59189987182617,53.496640014648435,43.603890047073364,27.745482344345874,58.32381019592285,56.60574253082275,2.261,True,False,1.5863499510751946,1.7213605358903303,0.7179639460151517,1.2358748028625777,0.35047514821261694,1.288249166595015,2.0629247749735673,27.745482344345874,-0.02972197598975832,-0.14381211713376907,-0.3972125308142919,4,-0.060825101425756097,0.6490404526943682,87.91666666666667,45.96774193548387,32.45954692556634,60.4720519926617,19.64317402702158,43.05002842524162,55.34543792282429,4.122426472119249,1.9606260873253618,False,False,False,False,False,False,False,False,True,无,正常跟踪中,True,327675.78411854705,262433.43254828954,1.0,HOLD,4711.382609778274,0.0
2019-06-28,54.91400146484375,56.03799819946289,54.91400146484375,55.5620002746582,20804000,264.5468139648437,59.15152359008789,2.31,-0.578,0.31,182.5,18.8,-55.0,56.070599746704104,54.718299865722656,53.65000007629394,43.67896004676819,25.721861059589617,58.34141052246094,56.62179817199707,2.2623333333333333,True,False,1.4660374342965543,1.7123607635115252,0.7176084767863221,1.2288045992121692,0.23723283508438509,1.288249166595015,2.062413113739184,25.721861059589617,-0.1365868643754542,-0.08005116248366505,-2.419874620705063,4,-0.18844536785284285,2.3165722213994506,82.28699551569507,40.522243713733076,22.60672703751617,60.46727857072685,40.2558671111781,42.5,50.76763481478264,2.3560137684106466,1.9478382119921045,False,False,False,False,False,False,False,False,True,无,正常跟踪中,True,323040.2606283829,258720.8715348035,1.0,HOLD,4711.382609778274,0.0
2019-07-01,56.70199966430664,56.86600112915039,55.89799880981445,56.39799880981445,8706000,266.948486328125,59.16924285888672,2.29,-0.578,0.34,186.0,18.5,-62.0,56.249599838256835,55.06959991455078,53.834440078735355,43.75970004081726,29.575841718429857,58.35882667541504,56.63729112625122,2.2635,True,False,1.6774754003720471,1.7018846070555544,0.7189862582427382,1.2236316455877858,0.4538437547842613,1.288249166595015,2.0619014525048023,29.575841718429857,0.16495589531024066,0.022441226400891023,5.248890709499443,1,-0.09242548777099086,0.9825109440614279,90.49295774647888,57.18427835051546,61.18293471234648,69.90947772043803,31.962066912025065,41.69505962521295,65.12211563230039,5.32662656354807,1.9452194235898113,False,False,False,False,False,False,False,False,True,无,正常跟踪中,True,334558.44158315,268144.81515806785,1.0,HOLD,4711.382609778274,1000.0
2019-07-02,57.6619987487793,57.86399841308594,56.630001068115234,56.6619987487793,9732000,267.64373779296875,59.2987174987793,2.29,-0.578,0.33,186.0,18.5,-62.0,56.362999725341794,55.37719993591308,54.01712005615234,43.843430032730105,31.517991869207133,58.38084999084472,56.65291038513183,2.2646666666666664,True,False,1.777315956608693,1.7648023437699372,0.7220998626826001,1.2743635300982024,0.5029524265104905,1.27741504328023,2.061389791270419,31.517991869207133,0.007932153539263354,-0.03335608367904917,0.22354699303473152,1,-0.09319356250434559,1.0897510548145217,93.37811900191939,48.06825499034127,38.59819121447028,69.91615886262264,35.56407265288324,41.69977298524404,59.50519741788436,6.7476360991441195,1.9445612641625154,False,False,False,False,False,False,False,False,True,无,正常跟踪中,True,340205.78736343514,272667.73815005535,1.0,HOLD,4728.725054051785,1.1368683772161603e-13
2019-07-03,58.630001068115234,58.84600067138672,57.97999954223633,57.97999954223633,5580500,269.7835388183594,59.52362823486328,2.26,-0.578,0.31,186.0,18.5,-62.0,56.51579971313477,55.6761999130249,54.2155200958252,43.93361002922058,33.45136223901208,58.40333625793457,56.66939371109009,2.2655000000000003,False,False,1.874205060562458,1.8870155419768149,0.7253464532210026,1.3687400305457906,0.5054650300166674,1.27741504328023,2.060878130036037,33.45136223901208,0.09462586149225558,-0.0012329487515739146,3.153697086176677,1,-0.12649388793170926,0.6315404698556973,95.62020460358056,52.734877734877735,53.42156229825694,66.58729178512505,12.703779184910026,39.67668746454906,63.05977041820064,8.142467257507631,1.9478727276927197,False,False,False,False,False,False,False,False,True,无,正常跟踪中,True,345917.0009593094,277245.1549698794,1.0,HOLD,4728.725054051785,1.1368683772161603e-13
2019-07-05,58.90599822998047,58.92399978637695,57.709999084472656,58.20000076293945,5025500,269.4765319824219,59.28508758544922,2.26,-0.582,0.35,186.0,18.5,-62.0,56.63039970397949,55.93659973144531,54.42284004211426,44.03532002449035,33.76988788509488,58.422666473388674,56.68487962722779,2.2666666666666666,False,False,1.8816294416816224,1.7068150801908386,0.7285612054294585,1.2435192522690153,0.6381101894126071,1.27741504328023,2.060366468801654,33.76988788509488,0.0024795357718900846,0.006440302352329681,0.08533054103024929,1,-0.11618274209924963,0.5799876281616273,95.94249201277955,47.62057877813505,37.25806451612903,66.59616130583872,11.617750006265297,38.46371882086168,58.643519622095845,8.237641005866264,1.9651683282082153,False,False,False,False,False,False,False,False,True,无,正常跟踪中,True,347545.38418916444,278550.2696640388,1.0,HOLD,4728.725054051785,1.1368683772161603e-13
2019-07-08,58.59999847412109,58.75600051879883,57.93000030517578,58.72999954223633,6343500,267.9959716796875,59.16924285888672,2.23,-0.582,0.35,186.0,18.5,-62.0,56.77559967041016,56.121099662780765,54.55208000183106,44.13644001960754,32.77010661668934,58.439141006469725,56.69981885910034,2.267,False,False,1.8171458601802584,1.6107557963722436,0.7296181331415201,1.175236637095999,0.6419092230842594,1.27741504328023,2.0598099712018128,32.77010661668934,0.07035197601909501,0.04138776807890984,2.5966128815776486,1,-0.1057609771243926,0.7629928902798533,94.60408684546616,51.51028277634961,51.22501611863314,66.60501910368056,21.25321413981208,35.524079320113316,61.29365021993783,7.420282548629051,1.9974296757378829,False,False,False,False,False,False,False,False,True,无,正常跟踪中,True,345739.98565747787,277103.28095197276,1.0,HOLD,4728.725054051785,1.1368683772161603e-13
2019-07-09,59.604000091552734,59.82400131225586,58.1259994506836,58.28200149536133,8280000,268.32989501953125,59.1010971069336,2.22,-0.582,0.36,186.0,18.5,-62.0,57.08599967956543,56.34259967803955,54.67583999633789,44.24846001625061,34.70299320291005,58.45129379272461,56.71493856430054,2.267333333333333,False,False,1.9149392548010222,1.5476456567080785,0.7300649044820854,1.1298817785366977,0.7850574762643245,1.27741504328023,2.059231055419243,34.70299320291005,0.44101342158503876,0.05521150525495962,17.739387255992714,1,-0.028690860655098644,1.0026750109894622,96.26675175494576,72.4791265253693,81.28221649484536,66.61386520187679,39.233520880624376,34.69705549263873,71.75044742158863,9.013414509123086,2.0399710017875536,False,False,False,False,False,False,False,False,True,无,正常跟踪中,True,351663.5951088365,281850.9285546303,1.0,HOLD,4728.725054051785,1.1368683772161603e-13
2019-07-10,59.75,60.59799957275391,59.6619987487793,59.922000885009766,6047000,269.6119384765625,59.26466751098633,2.25,-0.582,0.33,186.0,18.5,-62.0,57.55379981994629,56.66719970703125,54.784079971313474,44.359860010147095,34.693842547886995,58.467255935668945,56.730485382080076,2.2689999999999997,False,False,1.9050248614068765,1.6330892083935806,0.7303686910545762,1.1927572275097735,0.712267633897103,1.27741504328023,2.0586521396366724,34.693842547886995,0.7934277751919179,0.15709912433053091,39.991739175845844,1,-0.02719032327588,0.7395811038067565,96.20535714285714,88.15789473684211,93.27108821635544,66.62269962359233,27.63563480498584,37.59196378041879,77.84893357597639,9.064531212875757,2.1033681889728397,False,False,False,False,False,False,False,False,True,无,正常跟踪中,True,352524.9945553713,282541.3219795942,1.0,HOLD,4728.725054051785,1.1368683772161603e-13
