date,ADBE,CDNS,CRM,CRWD,DDOG,FTNT,INTU,MSFT,NOW,ORCL,PANW,PLTR,SNOW,SNPS,WDAY
2012-06-15,32.38999938964844,10.829999923706055,33.06791305541992,,,4.426000118255615,51.43597412109375,23.670631408691406,,22.590646743774414,,,,29.020000457763672,
2012-06-18,32.630001068115234,10.789999961853027,33.61838150024414,,,4.438000202178955,51.7711181640625,23.528701782226562,,22.117618560791016,,,,29.1200008392334,
2012-06-19,32.88999938964844,10.90999984741211,33.91573715209961,,,4.49399995803833,52.00926971435547,24.206811904907227,,22.802684783935547,,,,29.1299991607666,
2012-06-20,31.989999771118164,10.789999961853027,33.851844787597656,,,4.5279998779296875,51.88576126098633,24.38816261291504,,23.234922409057617,,,,29.280000686645508,
2012-06-21,31.229999542236328,10.539999961853027,32.62801742553711,,,4.388000011444092,50.17475509643555,23.765249252319336,,22.680356979370117,,,,28.399999618530273,
2012-06-22,31.56999969482422,10.680000305175781,33.6945686340332,,,4.513999938964844,50.853878021240234,24.206811904907227,,22.835308074951172,,,,28.510000228881836,
2012-06-25,30.850000381469727,10.40999984741211,32.969608306884766,,,4.383999824523926,49.69850158691406,23.55235481262207,,22.5253963470459,,,,28.040000915527344,
2012-06-26,31.06999969482422,10.569999694824219,33.257137298583984,,,4.400000095367432,50.28058624267578,23.670631408691406,,22.696672439575195,,,,28.059999465942383,
2012-06-27,31.40999984741211,10.5,33.35297775268555,,,4.535999774932861,50.73039245605469,23.78890037536621,,22.973955154418945,,,,28.030000686645508,
2012-06-28,31.170000076293945,10.489999771118164,32.38472366333008,,,4.3979997634887695,50.27177810668945,23.583898544311523,,22.973955154418945,,,,28.329999923706055,
2012-06-29,32.369998931884766,10.989999771118164,33.977176666259766,,,4.644000053405762,52.34437561035156,24.120073318481445,4.920000076293945,24.221742630004883,,,,29.43000030517578,
2012-07-02,32.189998626708984,11.229999542236328,34.17623519897461,,,4.7220001220703125,52.63543701171875,24.096420288085938,4.953999996185303,24.30328941345215,,,,29.469999313354492,
2012-07-03,32.5099983215332,11.520000457763672,34.73654556274414,,,4.840000152587891,53.04995346069336,24.254114151000977,5.061999797821045,24.441936492919922,,,,30.010000228881836,
2012-07-05,32.529998779296875,11.710000038146973,34.99948501586914,,,4.826000213623047,52.84709548950195,24.206811904907227,5.191999912261963,24.23805046081543,,,,30.110000610351562,
2012-07-06,31.3700008392334,11.420000076293945,33.3603515625,,,4.360000133514404,51.19371032714844,23.804672241210938,5.168000221252441,23.797653198242188,,,,29.6200008392334,
2012-07-09,30.43000030517578,11.180000305175781,32.26677322387695,,,4.23799991607666,50.786983489990234,23.654857635498047,5.053999900817871,23.732404708862305,,,,29.479999542236328,
2012-07-10,30.440000534057617,11.020000457763672,31.669601440429688,,,4.245999813079834,50.79580307006836,23.44985008239746,5.010000228881836,23.691633224487305,,,,29.56999969482422,
2012-07-11,30.200000762939453,11.039999961853027,31.18793487548828,,,4.210000038146973,50.698551177978516,23.10291862487793,4.748000144958496,23.88777732849121,,,,29.56999969482422,
2012-07-12,30.139999389648438,10.859999656677246,31.342754364013672,,,4.185999870300293,50.06195831298828,22.574613571166992,4.815999984741211,23.552705764770508,,,,29.649999618530273,
2012-07-13,30.649999618530273,11.050000190734863,32.082454681396484,,,4.309999942779541,50.59245300292969,23.173879623413086,4.835999965667725,24.173797607421875,,,,30.190000534057617,
2012-07-16,30.399999618530273,11.170000076293945,31.45334243774414,,,4.25600004196167,50.51288604736328,23.213300704956055,4.875999927520752,24.124767303466797,,,,30.209999084472656,
2012-07-17,30.649999618530273,11.229999542236328,31.155986785888672,,,4.251999855041504,51.432437896728516,23.386770248413086,4.854000091552734,24.451662063598633,,,,30.420000076293945,
2012-07-18,31.43000030517578,11.5,33.15146255493164,,,4.696000099182129,52.83826446533203,24.00968360900879,4.8460001945495605,24.9256534576416,,,,30.889999389648438,
2012-07-19,31.889999389648438,11.710000038146973,34.186065673828125,,,4.808000087738037,52.71446990966797,24.183143615722656,4.800000190734863,25.228036880493164,,,,30.829999923706055,
