date,APA,AR,BKR,BP,CHK,CHX,COP,CTRA,CVX,DVN,EOG,EPD,EQNR,EQT,ET,FANG,FTI,HAL,HES,KMI,MPC,MPLX,MRO,MUR,NBR,NOV,OKE,OVV,OXY,PSX,PTEN,RIG,SHEL,SLB,SM,TRGP,TTE,VLO,WHD,WMB,XOM
2018-07-24,36.39518737792969,21.059999465942383,26.339797973632812,28.48592758178711,,,54.2198486328125,,86.90493774414062,31.18842887878418,92.17574310302734,16.01642417907715,15.583161354064941,27.428836822509766,8.73910903930664,101.55529022216797,20.665964126586914,34.17073059082031,,11.135223388671875,57.45293426513672,16.013805389404297,,24.113361358642578,273.685302734375,37.71452713012695,42.046875,52.16709518432617,68.81407165527344,80.84068298339844,13.202303886413574,12.670000076293945,49.2725830078125,51.97761154174805,23.652183532714844,39.18444061279297,38.67876434326172,78.04850769042969,31.089996337890625,18.868301391601562,57.5927734375
2018-07-25,36.92030715942383,21.270000457763672,26.5633487701416,28.62575912475586,,,54.724952697753906,,87.64171600341797,31.68536376953125,94.200927734375,16.262826919555664,15.714311599731445,27.64327621459961,8.872340202331543,102.49132537841797,20.617652893066406,33.721885681152344,,11.29294490814209,58.216514587402344,16.35199546813965,,24.501691818237305,277.9102783203125,37.73236846923828,42.3515625,53.41779708862305,69.53137969970703,81.66202545166016,13.194150924682617,12.850000381469727,49.363807678222656,52.18387222290039,24.251867294311523,39.606197357177734,38.997188568115234,79.54732513427734,29.8497257232666,19.03642463684082,57.99519729614258
2018-07-26,36.93647384643555,21.239999771118164,27.162158966064453,28.30161476135254,,,54.94687271118164,,86.97508239746094,31.601369857788086,94.55316162109375,16.3778133392334,15.434123992919922,27.099693298339844,9.000638008117676,102.39240264892578,21.508068084716797,34.98371887207031,,11.37496280670166,62.45497131347656,16.699325561523438,,24.613698959350586,283.5436096191406,37.910675048828125,42.590538024902344,53.09504699707031,69.3912353515625,84.31503295898438,13.07190990447998,13.010000228881836,47.553192138671875,53.040645599365234,24.2783260345459,39.77940368652344,39.41550064086914,85.0042495727539,30.303253173828125,19.04935073852539,58.44618225097656
2018-07-27,36.36287307739258,20.229999542236328,27.729042053222656,28.288894653320312,,,54.67901611328125,,88.39253997802734,31.18143081665039,94.76593017578125,16.08759880065918,15.517589569091797,24.860498428344727,8.892081260681152,100.71057891845703,22.42609405517578,35.3986701965332,,11.29294490814209,63.10164260864258,16.361135482788086,,24.098424911499023,282.1352844238281,41.82478332519531,41.89155197143555,52.893310546875,68.82230377197266,86.34297180175781,13.829819679260254,12.90999984741211,47.74267578125,53.18342208862305,23.41407012939453,38.58949279785156,39.97742462158203,84.6550064086914,29.68311882019043,18.816572189331055,56.83655548095703
2018-07-30,37.211143493652344,20.360000610351562,27.697101593017578,28.225345611572266,,,55.30655288696289,,89.69769287109375,31.538387298583984,95.31626892089844,16.170955657958984,15.618931770324707,24.78070640563965,8.96609878540039,101.75316619873047,23.005895614624023,35.81363296508789,,11.324850082397461,63.49899673461914,16.59878158569336,,24.568899154663086,285.8908386230469,42.88578414916992,42.166351318359375,54.42644500732422,68.69038391113281,88.78517150878906,13.919462203979492,13.380000114440918,47.89707946777344,53.611820220947266,24.437061309814453,39.2823486328125,40.121028900146484,85.31710052490234,29.75716781616211,19.120479583740234,56.71166229248047
2018-07-31,37.16267395019531,20.540000915527344,27.609283447265625,28.657520294189453,,,55.23002624511719,,88.60303497314453,31.503387451171875,94.61183166503906,16.115386962890625,15.773926734924316,24.775720596313477,8.985836029052734,100.41378784179688,22.46750831604004,35.92372512817383,,11.343986511230469,62.97698974609375,16.649051666259766,,24.837730407714844,280.72698974609375,43.34941101074219,42.08271789550781,54.2247200012207,69.20161437988281,89.65015411376953,14.01725959777832,12.869999885559082,47.98128128051758,53.5642204284668,24.260683059692383,39.144378662109375,40.7391357421875,86.11018371582031,30.284746170043945,19.236875534057617,56.55208206176758
2018-08-01,36.30632019042969,20.010000228881836,27.36176300048828,28.30161476135254,,,54.954532623291016,,87.98554229736328,30.425508499145508,92.1390609741211,16.343225479125977,15.714311599731445,24.53634262084961,9.094395637512207,101.12153625488281,22.267333984375,35.61884689331055,,11.184486389160156,62.92243957519531,16.690183639526367,,24.397132873535156,299.03521728515625,42.27950668334961,40.69669723510742,56.564781188964844,68.13797760009766,89.41028594970703,14.009110450744629,12.680000305175781,47.384765625,52.881980895996094,23.766830444335938,39.54295349121094,40.3145637512207,84.96786499023438,30.543901443481445,19.44379425048828,55.77501678466797
2018-08-02,35.87813949584961,18.959999084472656,27.09828758239746,27.818588256835938,,,54.763214111328125,,86.84178924560547,30.754480361938477,92.40321350097656,16.22652244567871,15.565279960632324,24.68096160888672,9.350994110107422,102.34674835205078,21.853191375732422,35.49182891845703,,11.28018856048584,62.11994934082031,17.069503784179688,,24.516620635986328,310.77130126953125,42.24384307861328,40.92371368408203,57.33137130737305,67.80816650390625,88.7125015258789,13.642374992370605,12.8100004196167,46.41628646850586,52.310794830322266,25.12493324279785,39.7958984375,39.83382034301758,83.912841796875,31.756412506103516,20.03221321105957,55.441993713378906
2018-08-03,36.47597122192383,18.829999923706055,27.050386428833008,27.94569206237793,,,54.55659103393555,,87.0452651977539,30.13153839111328,89.82035064697266,16.237642288208008,15.58912181854248,25.11484146118164,9.488913536071777,99.53866577148438,21.54257583618164,35.610382080078125,,11.241905212402344,61.62130355834961,17.240568161010742,,24.695846557617188,314.99627685546875,41.93177795410156,40.82394027709961,55.354393005371094,67.84938049316406,88.42903137207031,13.617927551269531,12.930000305175781,46.54262161254883,52.27112579345703,24.98383331298828,39.57362365722656,39.721435546875,83.94922637939453,30.988189697265625,20.135671615600586,55.6431999206543
2018-08-06,36.871829986572266,18.719999313354492,27.864763259887695,28.047393798828125,,,54.893306732177734,,87.22068786621094,30.551502227783203,90.91365814208984,16.243196487426758,15.601041793823242,25.184659957885742,9.513991355895996,101.68466186523438,21.3424015045166,35.53416442871094,,11.452451705932617,62.20564270019531,17.398609161376953,,24.695846557617188,306.0768737792969,41.459232330322266,41.24722671508789,55.9595947265625,67.85762023925781,89.0686264038086,13.601632118225098,12.960000038146973,46.451393127441406,52.15213394165039,25.40713882446289,40.53938674926758,39.602813720703125,84.1763687133789,32.06186294555664,20.26500129699707,55.62931442260742
2018-08-07,37.46966552734375,18.989999771118164,28.088319778442383,28.42237091064453,,,55.7886848449707,,87.83817291259766,30.411510467529297,91.30256652832031,16.082048416137695,15.887194633483887,25.45895004272461,9.278270721435547,102.53697967529297,21.563283920288086,35.593441009521484,,11.471592903137207,63.319801330566406,17.342830657958984,,24.927345275878906,304.66851806640625,41.57515335083008,41.265380859375,55.27372741699219,67.56080627441406,89.19950103759766,13.691274642944336,13.079999923706055,46.94965744018555,52.89785385131836,25.460050582885742,40.43207550048828,40.42695236206055,85.50981903076172,31.54352569580078,20.413721084594727,56.38557052612305
2018-08-08,37.2677001953125,18.780000686645508,27.984533309936523,28.365171432495117,,,54.633113861083984,,86.92596435546875,29.865571975708008,90.08450317382812,16.259872436523438,15.762008666992188,25.214584350585938,9.253196716308594,101.81404113769531,21.225059509277344,35.593441009521484,,11.433309555053711,63.647029876708984,17.714693069458008,,24.27764892578125,304.1990966796875,41.378990173339844,41.48910903930664,54.628177642822266,66.95066833496094,89.38847351074219,13.707573890686035,12.930000305175781,47.181243896484375,52.68366241455078,24.313600540161133,40.761680603027344,40.20844650268555,84.9163589477539,31.987796783447266,20.40078353881836,56.01091003417969
2018-08-09,34.973304748535156,18.709999084472656,27.681129455566406,28.052614212036133,,,54.90861511230469,,85.97871398925781,29.445632934570312,89.7469711303711,16.398794174194336,15.4281644821167,24.925161361694336,9.16793441772461,99.80500030517578,20.700477600097656,35.153079986572266,,11.44607162475586,62.91464614868164,17.99359130859375,,22.52273178100586,294.3407897949219,40.701377868652344,41.5677375793457,54.305419921875,64.13907623291016,88.8069839477539,13.59348201751709,12.40999984741211,46.78267288208008,51.882423400878906,24.304780960083008,40.25578308105469,39.85879135131836,84.35953521728516,31.617565155029297,20.55597686767578,55.726436614990234
